"","logFC","logCPM","F","PValue","FDR"
"STX5",0.708961790146755,3.32560882207844,0.584930006692895,0.444408529441398,1
"IARS2",0.7279579724311,3.95240969546535,0.584552839323058,0.444555401736145,1
"ARPC3",0.829264139222618,3.70284524448458,0.584442144012694,0.444598520016393,1
"MORF4L2",0.600952992627025,3.99214557576492,0.583988339613967,0.444775376715611,1
"MED6",0.905673866387605,3.20076257793,0.583636464983054,0.444912582141562,1
"SAMD9",-0.612134625480577,3.95262503893647,0.583219270173464,0.445075337223013,1
"NAT10",0.766776579655396,3.48358734833162,0.582200464781825,0.445473175999064,1
"ERGIC2",0.771091180657805,3.63086215250309,0.581168158318662,0.44587686263428,1
"TMEM260",0.753849033482985,3.33041544002778,0.579106120857016,0.446684926849271,1
"ZNF827",-0.655564399723596,3.27487548893939,0.578936518119688,0.446751496272112,1
"ZMYM4",-0.651618705007355,3.7926891247488,0.578206927163105,0.447038002332424,1
"DDAH1",0.489605098364968,4.66155287865147,0.57761395924837,0.447271091760036,1
"MIB1",0.632154448138353,4.09061173637171,0.577570940687557,0.447288003391383,1
"GNPDA1",0.754074992138077,3.69125445607837,0.57716220406373,0.44744877172039,1
"SF3A3",0.731052534842076,3.88057366382635,0.576584737909876,0.447676077858206,1
"TP53BP1",-0.879332322969408,3.31721104458223,0.575758856397827,0.448001471463686,1
"ANKRD40",0.677484483237063,4.08541146777897,0.575739374139673,0.448009151414881,1
"EED",0.647036345670761,3.2486652631802,0.575290853391451,0.448186033525566,1
"BRD2",0.556713235756125,4.32474277985379,0.575120410568711,0.4482532791183,1
"RND3",0.459738784359105,4.86595033711897,0.575057587131894,0.448278078324853,1
"MARCKS",0.679558052166901,3.79252713873705,0.574878026526515,0.448348930246464,1
"NR4A1",-0.650176934421326,3.31609101996312,0.574826131151418,0.448369420314983,1
"MIRLET7F2",0.879478361848847,3.382300796081,0.573570817285339,0.448865338900783,1
"TOR3A",0.743720987055356,3.51359469242875,0.573536913574419,0.448878740771477,1
"CHD2",0.441008518404849,5.03889515653354,0.57193922750492,0.449511221520417,1
"UBAP2L",0.682513063158664,3.78365394914157,0.571599789080313,0.449645752404729,1
"MAST3",0.742594648433401,3.20095311577423,0.570735545194519,0.449988615306725,1
"MSL1",0.464910581610614,5.36981336343768,0.569816024870322,0.450353858669658,1
"VAT1",-0.666821990799983,4.07411175974261,0.568367447012274,0.450930159459182,1
