"","logFC","logCPM","F","PValue","FDR"
"SUV420H1",-0.184015748332282,3.41888547562895,0.234420060768145,0.628278630628168,1
"XIAP",0.611391447911398,3.23361519337596,0.234344324044951,0.628334128086929,1
"KCTD2",-0.183318220084509,3.4165365980858,0.234077838429674,0.628529526987787,1
"TC2N",-0.181960109905546,3.37973598254251,0.233978410912872,0.62860246352774,1
"SNRNP48",0.505640534377994,3.30716225498975,0.23247559648381,0.629707197611264,1
"PPP6R3",-0.394209275865947,4.14459955998724,0.231994085145794,0.630062103641592,1
"TNFSF15",0.219013241115446,3.10260385012276,0.231632947293225,0.630328584713177,1
"AP3M1",-0.46690185528847,3.66825968697156,0.231559604398185,0.630382725876803,1
"ZFP91",-0.417333330993904,4.0318135634986,0.231422116474188,0.630484266067277,1
"TAOK1",0.31543363708451,4.93007285955843,0.23113141345418,0.630699081052148,1
"FMN1",0.560812014640322,3.60701007017719,0.231078337067494,0.630738312675348,1
"DNAJC10",-0.39166989980805,4.26734870659963,0.230921815651813,0.630854058631778,1
"RCOR3",0.566608418023593,3.47911799141933,0.230821734422692,0.630928087093259,1
"RASAL2",-0.48707682108729,3.68026205066598,0.230744183945054,0.630985466588048,1
"MYL12B",-0.383726817489191,4.19518423915611,0.23065813497201,0.631049151386833,1
"IRF2BP2",0.366972720012011,3.92061924131329,0.230526228211841,0.631146799913457,1
"AKAP1",-0.165662979350689,3.41978034879997,0.229222496588611,0.632113787615612,1
"KPNA4",0.295005987014878,4.92063695022482,0.228807603824621,0.632422224124052,1
"ATP1A2",-0.419049491600956,3.58888494750152,0.228684934182874,0.632513471268115,1
"ARPC2",-0.47626386898172,3.90137070791331,0.22867114579828,0.632523735633372,1
"AKAP11",0.476879107410882,3.52729826983492,0.228619523762759,0.63256214395057,1
"CAV2",-0.428604383585889,3.58300331596627,0.228333293479094,0.63277523955267,1
"NAPRT",0.207048722448933,3.10181362502758,0.228252496403802,0.632835433476721,1
"GPC4",0.566993030220412,3.66147664741645,0.228139549366697,0.63291957773529,1
"NDUFA9",-0.532336142128548,3.24902719749847,0.227921239882913,0.63308229632031,1
"NOA1",0.579567471646711,3.44069864238647,0.22787763841128,0.633114812048901,1
"KLK6",0.571820998131322,3.44909358586222,0.227666065682362,0.633272624558454,1
"CD44",-0.245085668250608,6.19571428971851,0.227657683334605,0.633278891212897,1
"DPY19L1",0.406957888751867,3.79347568539737,0.227332199867245,0.633521836789313,1
"PABPC4",0.391285031623007,3.9815595993475,0.227318140245606,0.633532338932258,1
"SPTY2D1",-0.484864537079472,3.73392701108916,0.226990415037218,0.633777196819439,1
"EXOC7",-0.429703860931446,3.5360539239599,0.226698431638696,0.633995529350456,1
"SMPD1",0.631461421414702,3.17983531642277,0.226626236674846,0.634049544100691,1
"ARHGAP29",0.430820819122136,4.14468857788273,0.226416449472463,0.634206555068859,1
"AHR",-0.251485465404093,5.46747710549108,0.226377005248757,0.63423609878183,1
"HNRNPR",-0.501267497618251,3.62634791508739,0.226344499496933,0.634260425896413,1
"OAS3",0.478045127124746,3.41406604220262,0.22591160252969,0.634584755506619,1
"ZC3HC1",0.192833831105797,3.10785269191299,0.225073005945585,0.635214150204283,1
"SNORD75",0.225105885740522,8.50755053675431,0.224536468394275,0.635617589853667,1
"HIST1H4C",0.380451944314185,4.2106276709762,0.224325361111357,0.635776478065304,1
"ETFA",0.390131162590131,3.95730583512633,0.224186044882422,0.635881388208248,1
"C3orf62",-0.352842327646278,3.90162793200695,0.223725878421186,0.63622820260636,1
"PTPRJ",0.362073075400202,4.11188815948202,0.223390007711655,0.636481612878642,1
"TWISTNB",-0.485412651239776,3.55714771722718,0.22330117207396,0.636548670924626,1
"CIAO1",-0.400194780487445,3.78777650168541,0.223054679451182,0.636734841528938,1
"PSD3",0.564068635022652,3.61918948091305,0.222859879926752,0.636882058559634,1
"CAPN2",0.302545957064899,4.57867929746616,0.222385320060955,0.63724103496373,1
"ABHD3",0.55196059152798,3.58217714057683,0.222220367550597,0.637365912094129,1
"UHRF1BP1L",-0.524449568135874,3.2458177848667,0.222068180442151,0.637481174662077,1
"MIR183",0.17931833835933,3.10698107312488,0.221442351666833,0.637955708946209,1
"BAX",0.489565317685568,3.40344342326415,0.221132767773643,0.638190735715437,1
"PSMC2",0.42591024121118,3.62381516122594,0.220839501403569,0.638413571831864,1
"CHIC2",0.471019294388188,3.4691236383762,0.219539104392779,0.639403846828674,1
"CD55",-0.375876574444883,4.01271943766972,0.219173003574483,0.639683291667471,1
"STAG1",0.371992007875532,3.91287026097391,0.218950987501924,0.639852890005897,1
"NOCT",0.167353819692817,3.10618856512685,0.218245250460879,0.640392709754163,1
"RPL28",-0.372707157119298,4.22046740370078,0.218197897279734,0.640428962978441,1
"LLGL2",0.560755694300416,3.4816617743626,0.217834861239242,0.640707095026521,1
"HPS5",-0.36865167005241,4.09678602793152,0.217825309546012,0.64071441913263,1
"YME1L1",-0.353054993467448,4.32923670323749,0.217187874198479,0.641203478601048,1
"GIGYF2",0.364889020046962,3.92138921670053,0.216712504591628,0.641568762837003,1
"C6orf47",0.156147071747958,3.10725364163096,0.215403283059485,0.642577333501887,1
"CYTH1",0.438072614944843,3.52232363434344,0.21536741898873,0.642605001101502,1
"PDGFC",0.559200894417301,3.66507420553504,0.214647798967595,0.643161011661846,1
"EMC1",0.41065417501057,4.1068929001953,0.214289911440531,0.643437953589152,1
"DYRK1A",0.446992630299807,3.60955131759962,0.21368505271771,0.643906639949813,1
"SNORA26",-0.447342716171045,3.69830431137058,0.213475061501317,0.644069543307121,1
"TXNDC17",-0.501471326807989,3.39777187156832,0.213343813981296,0.644171410308684,1
"PTGR1",0.0288435714019675,3.11387606953191,0.213223894203519,0.64426452983498,1
"AXL",0.550484624111087,3.7623983517158,0.212568841237895,0.644773680796093,1
"UNC119B",-0.438260345546507,3.39637301078924,0.212545484700665,0.644791847119486,1
"FAM84B",-0.302435824278532,4.35330878135574,0.212123685917981,0.645120243697082,1
"UXS1",0.359785457968523,3.94506418066045,0.212113301402938,0.645128327351555,1
"ATAD1",0.557109099652346,3.42922020357364,0.212005942684444,0.645211972403606,1
"G3BP1",-0.357166942758407,4.14956491429892,0.211807296505106,0.645366816648979,1
"TNFRSF10B",0.259561450690678,5.11896134676941,0.211539887936633,0.645575402710655,1
"TCEB1",0.461182587247313,3.4682508203485,0.211272631199662,0.645784005945893,1
"CORO1B",-0.461132918124673,3.41342006901077,0.211201365207882,0.645839663690685,1
"STK11",0.501809007278497,3.30665551136399,0.210884960525477,0.646086905096337,1
"MED15",-0.462555858220591,3.66538798892597,0.209808806328023,0.646929510810779,1
"EXOSC10",-0.456342550209184,3.57012316118883,0.209307502975157,0.647322909828877,1
