Time course #,timecourse2,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
YKL047W,1.0,0.813876723,0.132245538,0.22641912649999998,0.320592715,0.220371151,0.202475637,0.272746562,0.272746562
YBR130C,1.0,0.817351381,0.284822973,0.22254784766666666,0.16027272233333334,0.097997597,0.220181152,0.342364707,0.342364707
YDL215C,1.0,0.8301951894999999,0.660390379,0.534327692,0.5452340489999999,0.556140406,0.567046763,0.567046763,0.567046763
YOR107W,1.0,0.9000603055,0.800120611,0.7001809164999999,0.600241222,0.6163844583333333,0.6325276946666666,0.648670931,0.648670931
YHR021W-A,1.0,0.754677357,0.983785294,1.040624494,1.040624494,1.040624494,1.040624494,1.040624494,1.040624494
YGR070W,1.0,0.775569276,0.6966155425,0.617661809,0.5387080755,0.459754342,0.212458333,0.271873696,0.271873696
YBR199W,1.0,0.784973529,0.379275072,0.424113187,0.54483422,0.438742318,0.332318138,0.329357868,0.329357868
YNL073W,1.0,0.51277793,0.51277793,0.51277793,0.51277793,0.51277793,0.51277793,0.51277793,0.51277793
YER125W,1.0,0.916000975,0.477092458,0.5140044,0.40286197,0.509788444,0.295325962,0.326356953,0.326356953
YPL207W,1.0,0.851156948,0.334784023,0.287658007,0.152131126,0.118471177,0.118471177,0.118471177,0.118471177
YAR019C,1.0,0.7566467885,0.513293577,0.575435919,0.664199545,0.573111154,0.573111154,0.573111154,0.573111154
YPR059C,1.0,0.761395165,0.761395165,0.761395165,0.761395165,0.761395165,0.761395165,0.761395165,0.761395165
YGR170W,1.0,0.784881661,0.472954173,0.576992287,0.66545898,0.462157018,0.258855056,0.338017885,0.338017885
YOR300W,1.0,0.732403234,0.351889031,0.40973898125,0.4675889315,0.52543888175,0.583288832,0.583288832,0.583288832
